ano,id_municipio,investimento_agua_prestador,investimento_esgoto_prestador,investimento_outro_prestador,investimento_recurso_proprio_prestador,investimento_recurso_oneroso_prestador,investimento_recurso_nao_oneroso_prestador,investimento_total_prestador,investimento_agua_municipio,investimento_esgoto_municipio,investimento_outro_municipio,investimento_recurso_proprio_municipio,investimento_recurso_oneroso_municipio,investimento_recurso_nao_oneroso_municipio,investimento_total_municipio,investimento_agua_estado,investimento_esgoto_estado,investimento_outro_estado,investimento_recurso_proprio_estado,investimento_recurso_oneroso_estado,investimento_recurso_nao_oneroso_estado,investimento_total_estado
2021,4115200,5084125.66,5081891.64,503144.97,9589801.32,1079360.95,,10669162.27,,,,,,,,,,,,,,
2020,4117701,276823.18,1089616.21,22852.28,1307178.83,0.0,82112.84,1389291.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,4119400,524426.87,243927.52,11872.73,780227.12,0.0,0.0,780227.12,,,,,,,,,,,,,,
2020,4121703,500142.55,1537384.74,14398.06,2051925.35,0.0,0.0,2051925.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,4123006,124724.42,839581.96,13595.76,142666.1,826236.04,9000.0,977902.14,,,,,,,,,,,,,,
2020,4123204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,4123501,249838.11,541445.47,383859.75,1122153.9,,52989.43,1175143.33,,,,,,,,,,,,,,
2020,4127965,1161760.3,191949.52,5836.98,299613.11,0.0,1059933.69,1359546.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,4128104,8623441.19,9581761.41,602754.33,13174973.54,5632983.39,0.0,18807956.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,3304128,,,,,,,,64478.23,0.0,0.0,,,,64478.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,2411502,12469.98,0.0,984.0,984.0,0.0,12469.98,13453.98,,,,,,,,,,,,,,
2021,2411809,27124.67,0.0,18389.9,45514.57,,0.0,45514.57,0.0,2700.0,2300.0,,0.0,0.0,7500.0,,,,,,,
2020,2411809,3741.0,0.0,0.0,0.0,0.0,3741.0,3741.0,0.0,2000.0,2000.0,,0.0,0.0,6300.0,,,,,,,
2021,2414407,95654.0,40937.4,1985.28,138576.68,0.0,0.0,138576.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,4311403,809579.14,24994.78,776053.32,1651922.26,0.0,0.0,1651922.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,4311791,,,,,,,,2578.0,1700.0,1545.0,15000.0,0.0,5823.0,20823.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,4314456,,,,,,,,106060.61,148429.31,0.0,254489.92,0.0,0.0,254489.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,4314902,49461838.72,18843982.79,12732422.2,53744990.86,23771377.28,3521875.57,81038243.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,4315602,1204866.21,6454060.61,1222918.7,4718342.54,4589683.67,2722.56,9310748.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,4203907,1322694.68,138157.96,0.0,1460852.64,0.0,0.0,1460852.64,0.0,0.0,0.0,0.0,,,0.0,,,,,,,
2020,4213807,142775.34,16930.0,30326.87,190032.21,190032.21,,190032.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,4216701,,,,,,,,288067.79,0.0,0.0,288067.79,0.0,0.0,288067.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,3500105,780082.79,426580.99,477724.63,,,,1869739.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,3501004,,,,,,,,104550.0,0.0,0.0,104550.0,0.0,0.0,104550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,3502705,888902.42,4700882.81,2240.88,,,,6070602.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,3503802,926213.47,202566.21,33569.0,915625.25,0.0,246723.43,1162348.68,0.0,849608.06,0.0,492913.35,0.0,356694.71,849608.06,110313.0,136410.43,0.0,0.0,0.0,246723.43,246723.43
2019,3505302,1253200.0,200000.0,300000.0,1753200.0,0.0,0.0,1753200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,3508108,233603.96,33103.96,0.0,266707.92,0.0,0.0,266707.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750037.33,0.0,750037.33,0.0,0.0,750037.33
2020,3509007,5161075.4,20348593.69,0.0,,,,27803359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,3510203,1361204.87,370700.61,237000.0,,,,2325074.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,3510302,421443.63,948414.67,4577.96,,,,1504185.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,3511607,453815.28,107331.28,2288.98,,,,624263.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,3512506,82086.9,33084.06,18801.67,,,,143211.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
